city,country,region,latitude,longitude,population,affordability_score,digital_score,startup_score,urban_score,innovation_score,talent_score,growth_score,opportunity_index,cluster,cluster_name
Sydney,Australia,Asia-Pacific,-33.861481,151.205475,4394585.0,6.14,6.66,5.0,6.39,2.37,6.92,4.8,5.55,3,Digital Leaders
Melbourne,Australia,Asia-Pacific,-37.813938,144.963425,3730212.0,6.53,6.65,5.0,7.26,2.37,6.92,4.71,5.74,3,Digital Leaders
London,United Kingdom,Europe,51.514125,-0.093689,7421228.0,3.96,7.32,5.0,6.05,4.61,6.5,4.46,5.48,0,Established Hubs
Paris,France,Europe,48.866667,2.333333,2110694.0,4.94,7.26,5.0,4.8,2.94,6.03,4.52,5.08,3,Digital Leaders
Berlin,Germany,Europe,52.516667000000005,13.4,3398362.0,5.37,7.3,5.0,4.61,2.89,6.74,3.58,5.08,3,Digital Leaders
Amsterdam,Netherlands,Europe,52.35,4.916667,745811.0,4.7,7.21,5.0,5.0,2.32,6.54,4.53,5.05,3,Digital Leaders
Madrid,Spain,Europe,40.408566,-3.69222,3102644.0,5.08,6.8,5.0,5.35,1.64,6.5,3.3,4.78,1,Balanced Cities
Barcelona,Spain,Europe,41.398371,2.1741,1570378.0,4.83,6.77,5.0,5.78,1.64,6.51,3.3,4.8,1,Balanced Cities
Rome,Italy,Europe,41.9,12.483333,2643736.0,4.27,6.03,5.0,5.33,1.98,5.66,2.4,4.28,1,Balanced Cities
Milan,Italy,Europe,45.466667,9.2,1156903.0,3.96,6.03,5.0,4.01,1.98,5.67,2.06,3.95,1,Balanced Cities
Vienna,Austria,Europe,48.2,16.366667,1569315.0,5.89,6.45,5.0,3.61,2.41,6.53,3.51,4.73,3,Digital Leaders
Zurich,Switzerland,Europe,47.366667,8.55,346185.0,6.65,7.54,5.0,3.96,3.16,5.9,5.49,5.45,3,Digital Leaders
Stockholm,Sweden,Europe,59.333333,18.05,1253309.0,5.46,7.4,5.0,3.78,3.19,6.74,4.47,5.17,3,Digital Leaders
Oslo,Norway,Europe,59.916667,10.75,808690.0,5.43,7.38,5.0,2.92,2.37,6.8,5.68,5.1,3,Digital Leaders
Copenhagen,Denmark,Europe,55.666667,12.583333,1089958.0,4.98,7.77,5.0,4.24,2.19,6.61,4.09,4.98,3,Digital Leaders
Helsinki,Finland,Europe,60.17555600000001,24.934167,558457.0,6.11,7.03,5.0,2.45,2.37,6.95,3.45,4.73,3,Digital Leaders
Warsaw,Poland,Europe,52.25,21.0,1651676.0,4.82,6.09,5.0,2.8,1.71,5.77,0.8,3.66,1,Balanced Cities
Prague,Czechia,Europe,50.083333,14.466667,1154508.0,4.88,6.72,5.0,3.37,2.15,5.63,2.61,4.23,1,Balanced Cities
Budapest,Hungary,Europe,47.5,19.083333,1708088.0,5.25,6.71,5.0,3.63,1.72,5.19,1.91,4.07,1,Balanced Cities
Lisbon,Portugal,Europe,38.716667,-9.133333,517798.0,3.74,6.63,5.0,5.07,1.39,5.66,3.8,4.38,1,Balanced Cities
New York,USA,Americas,40.7141667,-74.0063889,8107916.0,3.89,6.19,5.0,7.32,5.95,8.13,4.55,6.01,0,Established Hubs
San Francisco,USA,Americas,37.775,-122.4183333,732072.0,4.08,6.82,5.0,5.67,5.95,8.49,4.58,5.93,0,Established Hubs
Los Angeles,USA,Americas,34.0522222,-118.2427778,3877129.0,5.34,6.22,5.0,6.87,5.95,8.23,4.6,6.2,0,Established Hubs
Chicago,USA,Americas,41.85,-87.65,2841952.0,5.68,6.31,5.0,3.75,5.95,8.27,5.18,5.86,0,Established Hubs
Toronto,Canada,Americas,43.666667,-79.416667,4612187.0,4.73,6.72,5.0,3.93,2.52,6.02,4.68,4.77,3,Digital Leaders
