city,country,region,latitude,longitude,population,rent_1br_city_center,rent_3br_city_center,avg_net_salary,meal_inexpensive_restaurant,utilities_monthly_85m2,price_per_m2_city_center,internet_monthly_60mbps,monthly_pass_transport,avg_temp_c,temp_std_c,temp_trend_c,internet_users_pct,broadband_per_100,mobile_per_100,gdp_per_capita_usd,gini_index,urban_pop_pct,pop_growth_rate,rd_spending_pct_gdp,scientific_articles,high_tech_exports_pct,tertiary_enrollment_pct,adult_literacy_pct,edu_spending_pct_gdp,cwur_top_uni_score,cwur_avg_score,cwur_uni_count,cwur_patents,cwur_citations,cwur_research,times_top_uni_score,times_avg_research,times_avg_citations,times_uni_count,shanghai_top_score,shanghai_uni_count,so_developer_count,so_employed_dev_count,so_median_salary_usd,so_senior_dev_pct
Kuala Lumpur,Malaysia,Asia-Pacific,3.166667,101.7,1453978.0,438.4,999.84,1290.67,3.42,53.07,2272.27,25.49,22.79,27.943845824934336,1.196005836931,0.49275871351239786,91.13100001265758,10.5106706789321,134.98157594961333,10970.53852862417,40.95,75.39648276376099,1.3693601368122135,1.00097,23289.260000000002,54.6604923024482,39.38546363799649,95.19666544596355,3.970567025568014,44.84,44.70666666666667,3.0,160.66666666666666,556.0,700.3333333333334,,15.14,19.28,5.0,,,19.0,12.0,18850.0,42.10526315789473
Manila,Philippines,Asia-Pacific,14.6042,120.9822,10443877.0,541.63,1704.49,429.13,3.59,98.89,3578.46,37.97,12.04,27.980274886768818,1.564227744510515,0.8893764014318002,60.14624171800465,6.487841900643627,136.09200781993601,3438.902825330053,40.766666666666666,54.2328939926117,1.0124450485591325,0.28591,3355.66,64.24203147528723,34.343404617386184,97.375,3.69943156698082,,,,,,,,,,,,,39.0,27.0,7901.0,46.15384615384615
Ho Chi Minh City,Vietnam,Asia-Pacific,10.75,106.666667,3467426.0,493.77,1207.45,487.51,2.04,74.15,4404.92,11.48,5.51,,,,73.28158467325505,18.224455481494033,138.93935432835852,3728.748578466498,36.199999999999996,36.07790192652022,0.8824640706153287,0.4186733333333333,7772.38,41.90156540913208,37.44370363085748,95.939998626709,3.085891842431846,,,,,,,,,,,,,36.0,22.0,11464.0,33.33333333333333
Sydney,Australia,Asia-Pacific,-33.861481,151.205475,4394585.0,1720.76,3362.87,4683.94,13.59,133.25,11820.92,50.66,147.73,14.51433419988446,5.061624459695499,1.1554091540035145,94.58654912333333,35.38260393311332,108.63616407351451,59262.53091287157,34.05,87.30940717889426,1.345271538162505,1.843045,59722.7,22.38617494159037,107.79971313476567,,5.262163480122884,51.61,45.812222222222225,27.0,508.22222222222223,459.1111111111111,435.962962962963,75.4,32.832258064516125,60.60322580645161,31.0,30.2,18.0,216.0,147.0,102715.0,80.0925925925926
Melbourne,Australia,Asia-Pacific,-37.813938,144.963425,3730212.0,1284.94,2385.93,4052.92,15.63,148.65,6263.8,51.57,108.05,18.53220175755387,4.291960068254041,1.2717986333384097,94.58654912333333,35.38260393311332,108.63616407351451,59262.53091287157,34.05,87.30940717889426,1.345271538162505,1.843045,59722.7,22.38617494159037,107.79971313476567,,5.262163480122884,51.61,45.812222222222225,27.0,508.22222222222223,459.1111111111111,435.962962962963,75.4,32.832258064516125,60.60322580645161,31.0,30.2,18.0,216.0,147.0,102715.0,80.0925925925926
London,United Kingdom,Europe,51.514125,-0.093689,7421228.0,2417.07,4000.78,4033.84,18.45,299.36,14704.63,35.92,184.5,11.578025573478643,5.547328039142811,0.21091993181907398,94.18930666974946,40.71111083579812,119.37371891091682,45394.551424162695,32.9,82.87345734935796,0.6262915391930096,2.774596666666667,105378.268,24.72526060211715,72.16599019368489,,5.4529324769973755,96.81,48.004615384615384,65.0,478.5846153846154,350.89230769230767,440.3538461538462,94.2,31.04025974025974,60.900000000000006,77.0,68.8,33.0,610.0,456.0,95299.0,83.44262295081967
London,United Kingdom,Europe,51.514125,-0.093689,7421228.0,1348.08,2559.89,3446.3,16.68,129.73,7101.66,59.7,70.41,11.578025573478643,5.547328039142811,0.21091993181907398,94.18930666974946,40.71111083579812,119.37371891091682,45394.551424162695,32.9,82.87345734935796,0.6262915391930096,2.774596666666667,105378.268,24.72526060211715,72.16599019368489,,5.4529324769973755,96.81,48.004615384615384,65.0,478.5846153846154,350.89230769230767,440.3538461538462,94.2,31.04025974025974,60.900000000000006,77.0,68.8,33.0,610.0,456.0,95299.0,83.44262295081967
Paris,France,Europe,48.866667,2.333333,2110694.0,1365.19,3027.12,2752.34,15.81,199.44,13043.59,31.36,79.03,12.183865594901876,6.5533952975507415,-0.4336852803880884,84.72574830925612,46.78754441984153,112.34357825162216,41735.033352761166,31.46666666666667,78.72475327489074,0.358321316175051,2.214236666666667,68089.612,23.44473871243,69.3419583638509,,5.43845796585083,59.2,46.03037037037037,54.0,568.7407407407408,510.25925925925924,546.0185185185185,69.0,21.089285714285715,56.68571428571429,28.0,24.9,6.0,370.0,248.0,69609.0,72.70270270270271
Berlin,Germany,Europe,52.516667000000005,13.4,3398362.0,1321.9,2447.03,3158.05,12.64,308.3,8604.37,40.24,89.57,,,,90.08690003200543,43.40817790245208,126.93476845426066,50266.62877304249,32.78,81.54008621704754,0.1266035502337446,3.092715,114111.83200000001,16.383777161347535,74.31398646036786,,5.206821918487548,52.32,46.205535714285716,56.0,439.44642857142856,368.07142857142856,386.64285714285717,77.3,40.94615384615385,67.45384615384614,39.0,32.2,15.0,896.0,692.0,81210.0,76.11607142857143
Amsterdam,Netherlands,Europe,52.35,4.916667,745811.0,1799.7,3034.43,3655.44,19.49,281.94,9815.34,49.7,104.85,10.724838795053174,6.100984059512623,0.6714899913631047,93.01554728598647,42.91434313439584,121.86906147653333,57293.135869764315,27.25,94.28109036783395,0.7102424819507571,2.19435,33336.19,22.866037104242903,86.24331092834473,,5.2340740203857425,51.78,48.23846153846154,13.0,395.15384615384613,179.69230769230768,180.6153846153846,70.0,54.76153846153846,79.91538461538462,13.0,29.8,11.0,269.0,202.0,81210.0,80.66914498141264
