city,country,region,latitude,longitude,population,rent_1br_city_center,rent_3br_city_center,avg_net_salary,meal_inexpensive_restaurant,utilities_monthly_85m2,price_per_m2_city_center,internet_monthly_60mbps,monthly_pass_transport,avg_temp_c,temp_std_c,temp_trend_c,internet_users_pct,broadband_per_100,mobile_per_100,gdp_per_capita_usd,gini_index,urban_pop_pct,pop_growth_rate,rd_spending_pct_gdp,scientific_articles,high_tech_exports_pct,tertiary_enrollment_pct,adult_literacy_pct,edu_spending_pct_gdp,cwur_top_uni_score,cwur_avg_score,cwur_uni_count,cwur_patents,cwur_citations,cwur_research,times_top_uni_score,times_avg_research,times_avg_citations,times_uni_count,shanghai_top_score,shanghai_uni_count,so_developer_count,so_employed_dev_count,so_median_salary_usd,so_senior_dev_pct
Sao Paulo,Brazil,Americas,-23.473293,-46.665803,10021437.0,567.7,990.82,445.67,7.66,69.27,2542.37,21.55,45.98,20.275458421141874,3.4869333458004177,0.31219072488640975,78.50961040729916,18.60716903548145,100.78554498873929,8839.357900350498,52.083333333333336,87.0224491987064,0.5160425201464348,1.17277,68176.936,11.353865189212184,55.967813873291014,94.26484563371746,5.787932014465334,49.31,44.632777777777775,18.0,678.2777777777778,619.8333333333334,620.2222222222222,,17.670588235294115,15.729411764705885,17.0,,4.0,210.0,147.0,27306.0,68.57142857142857
Buenos Aires,Argentina,Americas,8.859575999999999,-83.50224200000001,11680.0,311.84,627.35,403.51,6.12,48.19,2518.29,21.87,10.0,17.175832641221007,5.93652837336504,0.8556701354369487,84.65272898245918,22.14980801501605,129.54166318441884,11534.404659500264,42.199999999999996,91.98421837885859,0.4637000363885188,0.5303183333333333,9512.128,5.357287498028811,101.29887389932867,99.1399993896484,4.896016677220664,45.37,44.5175,4.0,837.5,569.25,628.75,,9.0,12.5,1.0,,,58.0,37.0,54425.0,70.6896551724138
Bogota,Colombia,Americas,4.649178,-74.062827,7102602.0,335.29,611.61,299.87,3.15,67.58,1444.09,19.69,26.22,13.565590111642743,1.0227408736377375,0.8668546073855925,70.34837142273254,15.567625606085665,144.64506013382618,6422.184010575555,53.833333333333336,77.75571329854016,1.3912107419667317,0.3079133333333333,9173.617999999999,8.565711304462788,57.465202331542955,95.40126319825725,4.740480105082193,44.43,44.245000000000005,2.0,805.0,620.0,884.5,,17.450000000000003,23.0,2.0,,,23.0,19.0,30000.0,73.91304347826086
Lima,Peru,Americas,-12.05,-77.05,7646786.0,511.24,954.12,489.76,3.92,71.32,1962.17,30.91,15.66,19.49486516492827,2.7649960897826937,1.1127219958617367,67.58737652320339,8.806522749131995,125.14820350783066,7035.533255810693,41.449999999999996,83.73515498851604,1.290076590578342,0.15529833333333334,3115.16,4.602811592553602,,94.4550018310547,3.9680883089701315,,,,,,,,,,,,,10.0,4.0,103088.0,80.0
Santiago,Chile,Americas,-33.45,-70.666667,4837248.0,456.08,835.52,638.03,9.05,138.18,2279.57,23.72,45.27,,,,89.064220945,20.383642629629534,133.45560424159183,15324.916444409935,45.1,88.3843691911005,0.9596520244859486,0.359904,8733.102,10.102902733485601,95.44501241048175,,5.32870807647705,45.31,44.6725,4.0,508.75,617.5,632.75,,13.333333333333334,28.8,6.0,,1.0,24.0,14.0,31809.0,87.5
Dubai,UAE,Middle East,25.258172,55.304717,1137376.0,1793.25,3272.26,4322.14,12.25,192.01,3752.32,97.02,95.29,28.679458945569635,6.047377545997229,1.5905542733897704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abu Dhabi,UAE,Middle East,24.466667,54.36666700000001,603687.0,1574.22,2527.12,3541.4,8.17,148.74,3234.7,100.67,21.78,28.255446033121512,6.262394149498767,0.9627082695324383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tel Aviv,Israel,Middle East,32.066666999999995,34.766667,,,,,,,,,,21.249324753733717,5.193369972668198,,88.30574922826516,29.191503963643868,140.758760648084,48402.18569940006,38.17999999999999,91.56369283992058,2.0419888870270317,5.731411666666666,14049.16,27.911349363655734,58.34222539265951,,6.151325988769532,65.71,51.18714285714286,7.0,166.57142857142858,397.7142857142857,266.57142857142856,50.5,32.88333333333333,44.083333333333336,6.0,,4.0,72.0,56.0,134834.5,72.22222222222221
Istanbul,Turkey,Middle East,41.018611,28.964722,9797536.0,554.82,1040.98,383.04,5.37,68.88,2374.69,8.9,32.31,15.53755233145662,7.528381956713551,1.1904564792871426,,,,,,,,,,,,,,44.87,44.333999999999996,10.0,863.1,575.4,734.7,,19.400000000000002,33.67272727272727,11.0,,2.0,74.0,43.0,22723.0,52.702702702702695
Cairo,Egypt,Africa & Middle East,30.05,31.25,7734602.0,196.83,400.03,200.4,4.07,26.53,549.42,16.37,13.23,22.597804751755113,5.874625082455055,1.111168325895413,,,,,,,,,,,,,,44.25,44.095,4.0,871.0,578.0,889.0,,8.4,14.0,3.0,,1.0,37.0,24.0,8588.0,32.432432432432435
Nairobi,Kenya,Africa & Middle East,-1.2833333,36.8166667,2750561.0,414.88,979.8,455.52,4.28,28.18,1415.61,52.18,32.61,19.717192652775474,2.0721340243220583,0.2920565352321596,25.88846201863618,1.389696741705004,114.47062534038257,1973.005427951095,37.800000000000004,31.356943293314885,1.9604957055250318,0.60539,1713.5939999999998,3.6246359909323753,9.587163424047045,,4.815112313657649,,,,,,,,9.0,19.5,1.0,,,29.0,13.0,9596.0,20.689655172413794
Lagos,Nigeria,Africa & Middle East,6.453056,3.395833,8789133.0,1406.6,4929.84,214.64,3.71,28.27,746.59,52.83,33.77,27.22969589868198,1.6718754355581307,0.1263301915475843,34.016266825,0.038538954211746364,92.53177671151364,2645.0481658932467,34.5,60.16661913274564,2.1540440982194133,0.28444,7884.76,3.793095719263505,,63.1599998474121,0.3646033330447227,,,,,,,,11.1,4.6,1.0,,,25.0,4.0,904.0,20.0
Lagos,Nigeria,Africa & Middle East,6.453056,3.395833,8789133.0,882.51,1650.87,923.29,8.43,101.86,3517.33,42.15,42.15,27.22969589868198,1.6718754355581307,0.1263301915475843,34.016266825,0.038538954211746364,92.53177671151364,2645.0481658932467,34.5,60.16661913274564,2.1540440982194133,0.28444,7884.76,3.793095719263505,,63.1599998474121,0.3646033330447227,,,,,,,,11.1,4.6,1.0,,,25.0,4.0,904.0,20.0
Johannesburg,South Africa,Africa & Middle East,-26.205171,28.049815,2026466.0,396.6,756.77,1502.75,8.55,106.1,735.61,49.89,62.48,,,,72.63469950333332,2.57044346575414,162.373819492014,6404.295014378154,54.1,63.456103647058534,1.5394566413875266,0.6261099999999999,15422.789999999999,5.3026000830427416,22.79577745078015,92.5099983215332,6.093485037485759,48.75,46.098,5.0,384.2,351.0,492.6,56.1,27.233333333333334,46.15,6.0,,5.0,49.0,32.0,55871.5,77.55102040816327
Casablanca,Morocco,Africa & Middle East,33.592779,-7.619157,3609698.0,426.32,784.59,470.72,3.45,37.98,1863.17,36.34,21.72,,,,83.67915177652742,5.759153058781976,136.28784993070352,3556.770996093752,,62.16814937553695,1.0328377736605299,,6499.647999999999,4.581965222667908,41.44448108052617,,5.637286088973366,,,,,,,,6.3,12.1,1.0,,,9.0,6.0,12533.0,33.33333333333333
