country,internet_users_pct,broadband_per_100,mobile_per_100,gdp_per_capita_usd,gini_index,urban_pop_pct,pop_growth_rate,rd_spending_pct_gdp,scientific_articles,high_tech_exports_pct,tertiary_enrollment_pct,adult_literacy_pct,edu_spending_pct_gdp
Argentina,84.65272898245918,22.14980801501605,129.54166318441884,11534.404659500264,42.199999999999996,91.98421837885859,0.4637000363885188,0.5303183333333333,9512.128,5.357287498028811,101.29887389932867,99.1399993896484,4.896016677220664
Australia,94.58654912333333,35.38260393311332,108.63616407351451,59262.53091287157,34.05,87.30940717889426,1.345271538162505,1.843045,59722.7,22.38617494159037,107.79971313476567,,5.262163480122884
Austria,90.70644729054375,28.9915684216391,121.56813048060984,52060.233350858405,30.599999999999998,68.66025394099596,0.6213910717402672,3.191413333333333,14068.298,12.87651146709895,90.17235056559247,,5.3657940864563
Brazil,78.50961040729916,18.60716903548145,100.78554498873929,8839.357900350498,52.083333333333336,87.0224491987064,0.5160425201464348,1.17277,68176.936,11.353865189212184,55.967813873291014,94.26484563371746,5.787932014465334
Canada,93.48921798666667,41.00026259800775,89.59619203286405,49965.612611354154,31.360000000000003,82.04841072077916,1.5402991491979103,1.82019,66452.544,16.195052508454566,75.4306271870931,,4.8285440444946275
Chile,89.064220945,20.383642629629534,133.45560424159183,15324.916444409935,45.1,88.3843691911005,0.9596520244859486,0.359904,8733.102,10.102902733485601,95.44501241048175,,5.32870807647705
China,73.1260984862525,36.306782124322886,122.22173569683967,11644.208028618066,37.1,63.86706573821652,0.17213533016037938,2.3523866666666664,697534.788,29.699290295128304,64.10136892991642,96.7399978637695,3.89714002609253
Colombia,70.34837142273254,15.567625606085665,144.64506013382618,6422.184010575555,53.833333333333336,77.75571329854016,1.3912107419667317,0.3079133333333333,9173.617999999999,8.565711304462788,57.465202331542955,95.40126319825725,4.740480105082193
Czechia,82.68312920623184,35.925452853829334,124.67674734539533,26496.97059374918,25.71666666666667,72.74601156359448,0.41882150605816465,1.8958266666666665,15651.207999999999,20.890350480510666,68.0391031901042,,4.452474021911622
Denmark,97.90272425620918,44.28200271769614,125.38304584559067,64479.98261212828,28.483333333333334,88.2928968863252,0.5179522481863583,2.918176666666667,15534.351999999999,14.112394081242833,82.5498644510905,,7.06082191467285
