country,cwur_top_uni_score,cwur_avg_score,cwur_uni_count,cwur_patents,cwur_citations,cwur_research,times_top_uni_score,times_avg_research,times_avg_citations,times_uni_count,shanghai_top_score,shanghai_uni_count
Slovenia,44.77,44.49,2.0,629.5,416.0,597.0,,12.55,33.05,2.0,,1.0
South Africa,48.75,46.098,5.0,384.2,351.0,492.6,56.1,27.233333333333334,46.15,6.0,,5.0
South Korea,64.82,45.87916666666667,36.0,193.11111111111111,594.0555555555555,577.9166666666666,60.5,27.474999999999998,35.38333333333333,24.0,,10.0
Spain,49.79,44.830975609756095,41.0,461.5853658536585,574.1951219512196,564.0487804878048,53.8,17.424,43.98,25.0,,13.0
Sweden,52.79,47.54545454545455,11.0,849.7272727272727,237.0,276.8181818181818,77.5,41.21818181818182,76.54545454545455,11.0,31.9,8.0
Switzerland,66.93,50.39666666666667,9.0,400.22222222222223,205.0,278.6666666666667,88.3,41.45,75.65,10.0,30.1,6.0
Taiwan,54.23,44.8404,25.0,793.88,679.28,596.2,51.1,25.15833333333333,26.537499999999998,24.0,,7.0
Thailand,45.86,44.919999999999995,3.0,867.6666666666666,463.3333333333333,635.6666666666666,,10.857142857142858,24.52857142857143,7.0,,
Turkey,44.87,44.333999999999996,10.0,863.1,575.4,734.7,,19.400000000000002,33.67272727272727,11.0,,2.0
USA,100.0,50.05813852813853,231.0,367.8787878787879,321.9264069264069,416.0735930735931,,,,,,
Uganda,44.16,44.16,1.0,871.0,645.0,882.0,,10.6,70.7,1.0,,
Ukraine,,,,,,,,9.95,2.95,2.0,,
Unisted States of America,,,,,,,,35.5,67.7,1.0,,
United Arab Emirates,44.08,44.08,1.0,689.0,812.0,994.0,,12.7,17.5,2.0,,
United Kingdom,96.81,48.004615384615384,65.0,478.5846153846154,350.89230769230767,440.3538461538462,94.2,31.04025974025974,60.900000000000006,77.0,68.8,33.0
United States of America,,,,,,,95.2,36.001875,69.4825,160.0,100.0,104.0
Unted Kingdom,,,,,,,,20.4,51.9,1.0,,
Uruguay,44.16,44.16,1.0,871.0,812.0,814.0,,,,,,
