city,country,meal_inexpensive_restaurant,meal_2ppl_midrange,mcmeal_fastfood,domestic_beer_restaurant,imported_beer_restaurant,cappuccino,coke_pepsi,water_restaurant,milk_1L,bread_500g,rice_1kg,eggs_12,local_cheese_1kg,chicken_1kg,beef_1kg,apples_1kg,banana_1kg,oranges_1kg,tomato_1kg,potato_1kg,onion_1kg,lettuce,water_1_5L,bottle_wine_midrange,domestic_beer_0_5L_market,imported_beer_0_33L_market,cigarettes_20pk,one_way_ticket_local,monthly_pass_transport,taxi_start,taxi_1km,taxi_1hr_waiting,gasoline_1L,volkswagen_golf,toyota_corolla,utilities_monthly_85m2,mobile_monthly_1min,internet_monthly_60mbps,fitness_club_monthly,tennis_court_1hr,cinema_ticket,preschool_monthly,intl_primary_school_yearly,jeans_levis,summer_dress,nike_running_shoes,mens_leather_shoes,rent_1br_city_center,rent_1br_outside_center,rent_3br_city_center,rent_3br_outside_center,price_per_m2_city_center,price_per_m2_outside_center,avg_net_salary,mortgage_interest_rate
Nairobi,Kenya,4.28,32.61,5.91,2.04,2.85,2.25,0.54,0.45,0.96,0.52,1.55,1.39,11.6,5.88,4.62,2.33,0.91,1.8,0.95,0.91,0.98,0.63,0.76,11.41,1.96,2.42,2.45,0.82,32.61,2.24,1.11,2.69,1.18,16714.23,17539.05,28.18,0.03,52.18,47.67,16.71,6.52,164.71,9590.3,17.25,24.38,45.14,43.87,414.88,183.21,979.8,423.08,1415.61,613.08,455.52,12.53
Toronto,Canada,18.53,85.23,9.63,5.19,6.36,3.59,1.95,1.53,2.52,2.54,2.93,2.96,11.48,11.92,13.14,3.2,1.26,3.19,3.36,2.81,2.47,2.3,1.67,11.86,2.34,2.78,12.78,2.41,115.62,3.31,1.3,22.98,1.44,20752.19,19623.25,127.96,0.33,54.91,46.66,17.4,11.12,1159.76,19673.2,60.67,37.89,91.66,102.73,1728.5,1426.71,2733.4,2302.11,9834.67,7249.17,3249.79,5.24
Singapore,Singapore,11.09,66.55,5.92,7.39,8.87,4.55,1.49,1.06,2.59,2.03,2.78,2.81,19.48,8.98,20.2,3.82,2.61,3.8,3.0,2.24,2.16,1.9,1.52,22.18,4.53,5.35,11.09,1.48,94.65,2.96,0.74,14.79,2.35,110923.53,99668.1,145.68,0.18,35.02,107.93,12.48,11.09,1116.5,25404.69,76.31,44.52,108.41,115.29,2734.54,2015.75,5414.5,3517.55,20752.74,10392.94,4619.45,2.5
Sydney,Australia,13.59,81.55,9.5,6.12,6.29,3.11,2.23,2.06,1.4,2.31,1.88,3.77,7.76,8.01,13.67,2.89,2.36,2.51,5.28,2.33,2.1,2.61,1.47,12.23,4.27,4.61,27.18,3.06,147.73,3.19,1.9,40.77,1.38,23785.29,19828.64,133.25,0.45,50.66,57.5,15.34,14.27,1671.95,15310.53,76.13,50.78,104.46,119.03,1720.76,1276.4,3362.87,2175.19,11820.92,6996.74,4683.94,2.97
Barcelona,Spain,14.75,63.22,9.48,3.16,3.69,2.35,2.2,1.52,1.0,1.5,1.35,2.62,12.32,7.45,12.0,2.07,1.99,1.82,2.31,1.4,1.53,1.07,0.81,6.32,1.16,1.71,5.27,2.53,42.15,3.16,2.11,25.29,2.05,26342.58,26830.67,170.85,0.23,40.15,45.78,24.49,9.48,518.09,11404.25,77.21,32.81,82.67,106.58,1083.72,851.11,1798.22,1381.31,5103.12,3180.1,1978.23,2.11
Melbourne,Australia,15.63,81.55,9.68,6.8,6.8,3.23,2.61,2.3,1.31,2.25,2.16,3.65,8.8,8.36,13.57,2.94,2.45,2.42,5.19,2.43,2.09,3.06,1.53,13.59,3.91,4.35,27.18,3.13,108.05,3.4,1.22,23.16,1.42,22283.41,19141.31,148.65,0.13,51.57,46.14,12.69,14.95,1688.04,17618.1,73.63,45.78,100.5,114.04,1284.94,1042.29,2385.93,1618.73,6263.8,5282.19,4052.92,3.44
Johannesburg,South Africa,8.55,34.22,4.28,2.28,2.28,1.82,0.91,0.71,1.07,0.91,1.5,2.05,6.57,4.49,7.15,1.55,1.44,1.5,1.47,1.33,1.21,1.0,0.95,4.56,1.44,1.71,2.9,1.82,62.48,1.71,0.86,3.13,1.43,19622.91,21046.69,106.1,0.12,49.89,32.4,8.35,5.7,223.02,4792.32,47.75,26.42,85.41,72.93,396.6,371.4,756.77,736.5,735.61,670.67,1502.75,9.12
Casablanca,Morocco,3.45,18.89,6.14,2.83,3.78,1.78,0.46,0.32,0.69,0.47,1.41,1.23,7.45,5.44,7.53,1.19,1.13,0.57,0.58,0.47,0.45,0.29,0.54,6.61,1.88,2.51,3.59,0.57,21.72,0.73,0.71,5.19,1.43,23139.4,22457.29,37.98,0.19,36.34,20.64,25.19,5.9,186.9,3263.8,42.72,37.55,82.66,80.36,426.32,237.37,784.59,447.67,1863.17,972.37,470.72,4.88
Berlin,Germany,12.64,63.22,9.48,4.21,4.21,3.37,2.52,1.95,1.19,1.7,2.43,2.99,12.69,9.87,14.43,2.69,1.82,2.55,3.17,2.0,1.5,1.42,0.69,5.9,1.13,1.59,8.43,3.16,89.57,4.21,2.27,34.77,2.16,31580.74,28145.4,308.3,0.11,40.24,40.57,20.11,12.64,191.06,8781.21,88.38,37.06,85.48,110.25,1321.9,967.17,2447.03,1736.85,8604.37,5679.69,3158.05,2.18
Rome,Italy,16.33,73.76,9.48,5.27,5.27,1.5,2.09,1.15,1.61,1.58,2.22,3.59,16.58,9.95,15.85,2.4,1.9,2.4,2.71,1.61,1.58,1.15,0.53,6.85,1.57,2.42,6.32,1.58,36.88,4.74,1.16,31.61,2.07,26343.63,28654.34,197.83,0.2,29.26,52.72,18.88,9.48,485.53,8965.11,84.13,36.52,96.47,115.48,1070.3,728.04,2284.37,1368.17,7125.32,3585.89,1579.61,1.99
